,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
142,ajp,sout3123,Arabic (Palestinian),32.0,35.25,Semitic,Afro-Asiatic,Eurasia,PS,,language,wals1
143,ayn,sana1295,Arabic (San'ani),16.0,44.0,Semitic,Afro-Asiatic,Eurasia,YE,,language,wals1
144,apc,nort3139,Arabic (Syrian),34.0,38.0,Semitic,Afro-Asiatic,Eurasia,SY,,language,wals1
145,aeb,tuni1259,Arabic (Tunisian),36.75,10.25,Semitic,Afro-Asiatic,Africa,TN,,language,wals1
146,mhv,marm1234,Arakanese (Marma),21.5,92.5,Burmese-Lolo,Sino-Tibetan,Eurasia,MM BD,,language,wals1
147,akr,arak1252,Araki,-15.6666666667,166.916666667,Oceanic,Austronesian,Papunesia,VU,,language,wals1
148,atq,aral1243,Aralle-Tabulahan,-2.75,119.25,South Sulawesi,Austronesian,Papunesia,ID,,language,wals1
149,jbj,aran1237,Arandai,-2.08333333333,133.0,South Bird's Head,Marind,Papunesia,ID,,language,wals1
150,aro,arao1248,Araona,-12.3333333333,-67.75,Tacanan,Tacanan,South America,BO,,language,wals1
151,arp,arap1274,Arapaho,40.0,-103.0,Algonquian,Algic,North America,US,,language,wals1
152,,,Arapesh (Abu),-3.45,142.95,Kombio-Arapesh,Torricelli,,PG,,language,wals1
153,ape,buki1249,Arapesh (Mountain),-3.46666666667,143.166666667,Kombio-Arapesh,Torricelli,Papunesia,PG,,language,wals1
154,arw,araw1276,Arawak,5.5,-55.1666666667,Caribbean Arawakan,Arawakan,South America,SR,,language,wals1
155,arv,arbo1245,Arbore,5.0,36.75,Lowland East Cushitic,Afro-Asiatic,Africa,ET,,language,wals1
156,aqc,arch1244,Archi,42.0,46.8333333333,Lezgic,Nakh-Daghestanian,Eurasia,RU,,language,wals1
157,laz,arib1241,Aribwatsa,-6.71666666667,147.0,Oceanic,Austronesian,Papunesia,PG,,language,wals1
158,ari,arik1262,Arikara,45.5,-100.5,Caddoan,Caddoan,North America,US,,language,wals1
159,hye,nucl1235,Armenian (Eastern),40.0,45.0,Armenian,Indo-European,Eurasia,AM,2 Words derived from Min Nan Chinese te,language,wals1
160,hye,nucl1235,Armenian (Iranian),32.6666666667,51.6666666667,Armenian,Indo-European,Eurasia,IR,,language,wals1
161,hye,nucl1235,Armenian (Western),38.5,43.5,Armenian,Indo-European,Eurasia,TR,,language,wals1
162,apr,arop1243,Arop-Lokep,-5.38333333333,147.05,Oceanic,Austronesian,Papunesia,PG,,language,wals1
163,aia,aros1241,Arosi,-10.25,161.333333333,Oceanic,Austronesian,Papunesia,SB,,language,wals1
164,are,east2379,Arrernte,-24.0,134.0,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
165,aer,east2379,Arrernte (Mparntwe),-24.0,136.0,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
166,are,west2441,Arrernte (Western),-24.0,132.5,Central Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
167,tml,tamn1235,Asmat,-5.5,138.5,Asmat-Kamoro,Trans-New Guinea,Papunesia,ID,,language,wals1
168,asm,assa1263,Assamese,26.0,93.0,Indic,Indo-European,Eurasia,IN,1 Words derived from Sinitic cha,language,wals1
169,ast,astu1245,Asturian,43.25,-6.0,Romance,Indo-European,Eurasia,ES,2 Words derived from Min Nan Chinese te,language,wals1
170,asu,toca1235,Asuriní,-3.5,-49.5,Tupi-Guaraní,Tupian,South America,BR,,language,wals1
171,kuz,kunz1244,Atacameño,-23.0,-69.0,Kunza,Kunza,South America,BO CL AR,,language,wals1
172,aqp,atak1252,Atakapa,30.0,-93.5,Atakapa,Atakapa,North America,US,,language,wals1
173,tay,atay1247,Atayal,24.5,121.333333333,Atayalic,Austronesian,Papunesia,TW,3 Others,language,wals1
174,upv,urip1239,Atchin,-16.0,167.333333333,Oceanic,Austronesian,Papunesia,VU,,language,wals1
175,aph,athp1241,Athpare,27.0,87.3333333333,Mahakiranti,Sino-Tibetan,Eurasia,NP,,language,wals1
176,atj,atik1240,Atikamekw,48.0,-74.0,Algonquian,Algic,North America,CA,,language,wals1
177,atw,atsu1245,Atsugewi,40.75,-121.0,Palaihnihan,Hokan,North America,US,,language,wals1
178,avt,auuu1241,Au,-3.58333333333,142.083333333,Wapei-Palei,Torricelli,Papunesia,PG,,language,wals1
179,aul,aulu1238,Aulua,-16.3333333333,167.666666667,Oceanic,Austronesian,Papunesia,VU,,language,wals1
180,asf,aust1271,Auslan,-30.0,145.0,Sign Languages,other,Australia,AU,,language,wals1
181,auy,awiy1238,Auyana,-6.5,145.75,Eastern Highlands,Trans-New Guinea,Papunesia,PG,,language,wals1
182,ava,avar1256,Avar,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU AZ,,language,wals1
183,avn,avat1244,Avatime,6.83333333333,0.416666666667,Kwa,Niger-Congo,Africa,GH,,language,wals1
184,avi,avik1243,Avikam,5.16666666667,-5.5,Kwa,Niger-Congo,Africa,CI,,language,wals1
185,avu,avok1242,Avokaya,4.66666666667,30.0,Moru-Ma'di,Central Sudanic,Africa,SD CD,,language,wals1
186,awb,awap1236,Awa,-6.66666666667,145.75,Eastern Highlands,Trans-New Guinea,Papunesia,PG,,language,wals1
187,kwi,awac1239,Awa Pit,1.5,-78.25,Barbacoan,Barbacoan,South America,EC CO,,language,wals1
188,awa,awad1243,Awadhi,27.5,81.5,Indic,Indo-European,Eurasia,NP IN,,language,wals1
189,awn,awng1244,Awngi,10.8333333333,36.6666666667,Central Cushitic,Afro-Asiatic,Africa,ET,,language,wals1
190,kmn,awtu1239,Awtuw,-3.58333333333,142.0,Ram,Sepik,Papunesia,PG,,language,wals1
191,auw,awyi1241,Awyi,-2.91666666667,140.583333333,Border,Border,Papunesia,ID,,language,wals1
192,nfl,ayiw1239,Ayiwo,-10.3333333333,166.25,Oceanic,Austronesian,Papunesia,SB,,language,wals1
193,ayc,cent2142,Aymara (Central),-17.0,-69.0,Aymaran,Aymaran,South America,PE CL BO,,language,wals1
194,aib,ainu1251,Aynu,39.5,76.0,Turkic,Altaic,Eurasia,CN,,language,wals1
195,,,Ayomán,11.0,-69.0,Jirajaran,Jirajaran,,VR,,language,wals1
196,ayo,ayor1240,Ayoreo,-20.25,-59.25,Zamucoan,Zamucoan,South America,PY,,language,wals1
197,azb,sout2697,Azari (Iranian),37.5,47.0,Turkic,Altaic,Eurasia,IR IQ,,language,wals1
198,azb,nort2697,Azerbaijani,40.5,48.5,Turkic,Altaic,Eurasia,AZ IR,1 Words derived from Sinitic cha,language,wals1
199,koe,kaci1244,Baale,6.5,34.5,Surmic,Eastern Sudanic,Africa,SD,,language,wals1
200,bvx,dibo1245,Babole,1.08333333333,17.25,Bantoid,Niger-Congo,Africa,CG,,language,wals1
201,bav,veng1238,Babungo,6.11666666667,10.4166666667,Bantoid,Niger-Congo,Africa,CM,,language,wals1
202,wdj,wadj1254,Bachamal,-13.1666666667,130.166666667,Anson Bay,Anson Bay,Australia,AU,,language,wals1
203,bfq,bada1257,Badaga,11.6666666667,76.75,Southern Dravidian,Dravidian,Eurasia,IN,2 Words derived from Min Nan Chinese te,language,wals1
204,bde,bade1248,Bade,12.8333333333,10.5,West Chadic,Afro-Asiatic,Africa,NG,,language,wals1
205,bia,badi1246,Badimaya,-27.6666666667,118.0,Western Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
206,ksf,bafi1243,Bafia,5.0,11.1666666667,Bantoid,Niger-Congo,Africa,CM,,language,wals1
207,bfd,bafu1246,Bafut,6.25,9.91666666667,Bantoid,Niger-Congo,Africa,CM,,language,wals1
208,bsp,baga1272,Baga Sitemu,10.5,-14.5,Mel,Niger-Congo,Africa,GN,,language,wals1
209,bmi,bagi1246,Bagirmi,11.6666666667,16.0,Bongo-Bagirmi,Central Sudanic,Africa,TD,,language,wals1
210,fuu,furu1242,Bagiro,4.33333333333,20.5833333333,Bongo-Bagirmi,Central Sudanic,Africa,CF CD,,language,wals1
211,bgq,bagr1243,Bagri,29.5833333333,74.3333333333,Indic,Indo-European,Eurasia,IN,,language,wals1
212,kva,bagv1239,Bagvalal,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU,,language,wals1
213,bdw,baha1258,Baham,-3.16666666667,132.666666667,West Bomberai,West Bomberai,Papunesia,ID,,language,wals1
214,bjh,bahi1254,Bahinemo,-4.58333333333,142.833333333,Sepik Hill,Sepik,Papunesia,PG,,language,wals1
215,bdq,,Bahnar,13.8333333333,108.333333333,,,Eurasia,,,language,wals2
216,bdq,bahn1262,Bahnar (Plei Bong-Mang Yang),13.8333333333,108.333333333,Bahnaric,Austro-Asiatic,Eurasia,VN,,language,wals1
217,bca,cent2004,Bai,26.0,100.0,Bai,Sino-Tibetan,Eurasia,CN,,language,wals1
218,byx,qaqe1238,Baining,-4.58333333333,152.0,Baining,Baining-Taulil,Papunesia,PG,,language,wals1
219,bdl,indo1317,Bajau (Sama),-4.33333333333,123.0,Sama-Bajaw,Austronesian,Papunesia,ID,,language,wals1
220,bdr,west2560,Bajau (West Coast),6.33333333333,116.333333333,Sama-Bajaw,Austronesian,Papunesia,MY,,language,wals1
221,bkc,baka1272,Baka (in Cameroon),2.58333333333,13.5833333333,Ubangi,Niger-Congo,Africa,CM,,language,wals1
222,bdh,,Baka (in South Sudan),4.83333333333,29.25,,,Africa,,,language,wals2
